retweet_id,author_id,name_user,user_location
1484561781531955203,987742428,Carmen Shier,
1484561781531955203,4807239035,Nat_Bee,"Moncton, New Brunswick"
1484561781531955203,113393733,Azin,Ottawa
1484561781531955203,848430961,Maureen Taylor,Toronto
1484561781531955203,8743302,Poutinho,"Toronto, Ontario"
1484561781531955203,1382551170829275136,Genogenius,
1484561781531955203,952247125185720320,#StayHome,കേരളം
1484561781531955203,2558166399,Rev Barb,"Saskatchewan, Canada"
1484561781531955203,3318106141,Charlotte Payne,
1484561781531955203,540103190,Michelle,"Calgary, Alberta"
1484561781531955203,208503203,Cynthia Mar,Ottawa
1484561781531955203,193776443,Andy Blidy,California
1484561781531955203,1190401145694556160,AJ is masked and triple vaxxed,
1484561781531955203,334898960,the mitt,
1484561781531955203,177036659,Marilyn Crabtree,home
1484561781531955203,868282230,Job Aidooh🐾🐤🇬🇭,"Asankrangwa , Ghana"
1484561781531955203,492736486,alan drummond,"Perth, Ontario,Canada"
1484561781531955203,133752184,Josée Legault,
1484561781531955203,89319056,Pierre Pothier,"Quebec City, Canada"
1484561781531955203,19164430,Maggie Fox,Washington
1484561781531955203,161797179,Scott A. Wolfe,"Toronto, Canada"
1484561781531955203,8653962,Melinda Wenner Moyer,"Hudson Valley, NY"
1484561781531955203,1373366317,Britta❄️🇨🇦❄️,
1484561781531955203,16296908,Dr. Samantha Brennan,"Guelph, Ontario"
1484561781531955203,21143053,David G,Toronto
1484561781531955203,114336419,Gérald Fillion,
